Flight Date/Time,Model,Aircraft ID,Route,Takeoffs (D/N),Full Stop (D/N),Inst App (D/N),SE,ME,Complex,Turbine,Rotorcraft,Sim/FTD,X/Ctry,Actual Inst (D/N),Sim Inst (D/N),Total Time (D/N),PIC Time (D/N),Dual Received,As Instructor,Flight Remarks
"Jun 8, 1997",172,PH-AMB,EHLE - EHGG - EHLE,2,2,3,1.8,,,,,, ,,1.8,1.8,1.8,,,A1 EXAMINATION
"Jun 3, 1997",DA-20,PH-USI,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,,
"Jun 3, 1997",DA-20,PH-USI,EHLE,3,3,,1.6,,,,,, ,,,1.6,1.6,1.6,,
"May 22, 1997",DA-20,PH-USJ,EHLE,1,1,,1.1,,,,,, ,,,1.1,1.1,,,
"May 20, 1997",Rallye,PH-RNB,EHHV,1,1,,0.4,,,,,, ,,,0.4,0.4,,,
"May 16, 1997",DA-20,PH-USI,EHLE,1,1,,1.0,,,,,, ,,,1.0,1.0,,,
"May 12, 1997",DA-20,PH-USI,EHLE,1,1,,1.5,,,,,, ,,,1.5,1.5,,,
"May 8, 1997",DA-20,PH-USI,EHLE,,,,1.2,,,,,, ,,1.2,1.2,1.2,1.2,,
"Apr 17, 1997",DA-20,PH-USH,EHLE - EHHO - EHLE,2,2,,1.4,,,,,,1.4,,,1.4,1.4,,,
"Apr 15, 1997",,SIM,EHAM,,,,,,,,,1.0, ,,1.0,1.0,1.0,,,
"Apr 11, 1997",,SIM,EHAM,,,,,,,,,1.3, ,,1.3,1.3,1.3,,,
"Apr 8, 1997",DA-20,PH-USI,EHLE - EHTE - EHLE,2,2,,1.5,,,,,,1.5,,,1.5,1.5,,,
"Mar 29, 1997",DA-20,PH-USI,EHLE,1,1,,1.1,,,,,, ,,1.1,1.1,1.1,,,
"Mar 25, 1997",DA-20,PH-USH,EHLE,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
